,diff_#8,CHI Production Index,CHI Shipments Index,FRA Production Index,FRA Shipments Index,GER Production Index,GER Shipments Index,ITA Production Index,ITA Shipments Index,JAP Production Index,JAP Shipments Index,SWI Production Index,SWI Shipments Index,UK Production Index,UK Shipments Index,USA Production Index,USA Shipments Index,Europe Production Index,Europe Shipments Index,(W) Price of Base Metals,(W) Price of Energy,(W) Price of Metals & Minerals,(W) Price of Natural gas index,"(W) Price of Crude oil, average",(W) Price of Copper,USA EUR to LCU Conversion Rate ,USA EE Producer Prices,UK EE Producer Prices,ITA EE Producer Prices,FRA EE Producer Prices,GER EE Producer Prices,CHI EE Producer Prices,USA Machinery & Equipment Index,(W) Machinery & Equipment Index,SWI Machinery & Equipment Index,UK Machinery & Equipment Index,ITA Machinery & Equipment Index,JAP Machinery & Equipment Index,FRA Machinery & Equipment Index,GER Machinery & Equipment Index,USA EE Production Index,(W) EE Production Index,SWI EE Production Index,UK EE Production Index,ITA EE Production Index,JAP EE Production Index,FRA EE Production Index,GER EE Production Index,CHI Production Index_Rolling_Mean_3,CHI Shipments Index_Rolling_Mean_3,FRA Production Index_Rolling_Mean_3,FRA Shipments Index_Rolling_Mean_3,GER Production Index_Rolling_Mean_3,GER Shipments Index_Rolling_Mean_3,ITA Production Index_Rolling_Mean_3,ITA Shipments Index_Rolling_Mean_3,JAP Production Index_Rolling_Mean_3,JAP Shipments Index_Rolling_Mean_3,SWI Production Index_Rolling_Mean_3,SWI Shipments Index_Rolling_Mean_3,UK Production Index_Rolling_Mean_3,UK Shipments Index_Rolling_Mean_3,USA Production Index_Rolling_Mean_3,USA Shipments Index_Rolling_Mean_3,Europe Production Index_Rolling_Mean_3,Europe Shipments Index_Rolling_Mean_3,(W) Price of Base Metals_Rolling_Mean_3,(W) Price of Energy_Rolling_Mean_3,(W) Price of Metals & Minerals_Rolling_Mean_3,(W) Price of Natural gas index_Rolling_Mean_3,"(W) Price of Crude oil, average_Rolling_Mean_3",(W) Price of Copper_Rolling_Mean_3,USA EUR to LCU Conversion Rate _Rolling_Mean_3,USA EE Producer Prices_Rolling_Mean_3,UK EE Producer Prices_Rolling_Mean_3,ITA EE Producer Prices_Rolling_Mean_3,FRA EE Producer Prices_Rolling_Mean_3,GER EE Producer Prices_Rolling_Mean_3,CHI EE Producer Prices_Rolling_Mean_3,USA Machinery & Equipment Index_Rolling_Mean_3,(W) Machinery & Equipment Index_Rolling_Mean_3,SWI Machinery & Equipment Index_Rolling_Mean_3,UK Machinery & Equipment Index_Rolling_Mean_3,ITA Machinery & Equipment Index_Rolling_Mean_3,JAP Machinery & Equipment Index_Rolling_Mean_3,FRA Machinery & Equipment Index_Rolling_Mean_3,GER Machinery & Equipment Index_Rolling_Mean_3,USA EE Production Index_Rolling_Mean_3,(W) EE Production Index_Rolling_Mean_3,SWI EE Production Index_Rolling_Mean_3,UK EE Production Index_Rolling_Mean_3,ITA EE Production Index_Rolling_Mean_3,JAP EE Production Index_Rolling_Mean_3,FRA EE Production Index_Rolling_Mean_3,GER EE Production Index_Rolling_Mean_3,CC_CHI,CC_FRA,CC_GER,CC_ITA,CC_JAP,CC_Europe,CC_SWI,CC_UK,CC_USA,BC_CHI,BC_FRA,BC_GER,BC_ITA,BC_JAP,BC_Europe,BC_SWI,BC_UK,BC_USA,stock_price,stock_price_change,stock_volume
2018-10-01,-59759.96999999997,211.95575520716895,211.95575520716895,108.280607983292,122.45173385667506,124.22787901639768,137.74195311854243,118.35051391169598,122.45689392908128,125.20995688776168,124.7932500344297,109.0777810717944,104.59478084947575,113.65932183788875,112.31802997846748,111.90254008123298,127.80883943812468,124.39196727078162,130.98925277256873,86.10258604245291,100.22216927104898,79.35498638731923,89.5707956167827,97.07226401539516,82.54508219135586,1.1483999490737915,110.70040893554688,111.4636688232422,105.2978363037109,102.0647430419922,109.1196136474609,96.31832944091008,111.42263793945312,131.34011840820312,106.81693668310244,110.89345030235928,129.3892211914063,131.50378627304292,114.7208099365234,127.4611358642578,112.85325622558594,129.32577514648438,112.97084318360916,118.6707913381898,93.0015106201172,112.3767738760491,97.84954071044922,118.2982330322266,202.96787446831033,202.96787446831033,91.38043279936655,108.58514039064586,119.15164965144714,134.80144912623496,94.8596294129997,104.0706129661527,122.74505685790952,123.89342371799817,106.05687143751778,101.69911828158054,108.54210406910845,105.79273006408437,111.22270100351473,127.35164802617551,114.02118783573526,123.65613252402916,85.40647457431601,96.97759800647617,78.30612471950059,86.81731167572214,94.11738958436489,81.05258111122585,1.1563999652862549,110.39920806884766,113.30604298909508,105.33251953125,102.23468526204427,108.97930908203124,96.5564059184241,111.11408742268878,126.2548116048177,103.95763220369935,106.87334979984671,103.4913813273112,129.0152395246838,96.92047373453777,122.24140930175777,111.43787129720052,124.39276885986328,109.67165747307592,111.56571200478989,75.03789647420247,109.96008974905196,82.40733846028647,113.48517100016277,102.8056,98.94864,101.5778,101.7588,100.3849,100.7815,100.318,100.6982,101.5022,98.79642,101.0451,101.7476,100.9696,101.5259,100.9295,102.0386,102.0568,101.2177,91.7,-7.81,61460000.0
2018-11-01,-59759.96999999997,220.51965526454364,220.51965526454364,99.63691135445414,115.95820990880324,127.40413161341596,142.7321928919857,107.71926030710212,120.13203247194744,122.624695063198,123.2898884480816,112.24149121251496,107.65623845860024,115.0884168640642,112.80101099206072,110.88040110187232,117.67587388309826,123.07009082277396,132.9341300308063,83.84137392877682,84.4368070893486,77.50087473855753,97.3624678921418,78.84116672898655,82.23093896077806,1.1367000341415403,110.99402618408205,111.6683731079102,105.2978363037109,102.0647430419922,109.2248382568359,95.37011753317653,109.73712921142578,129.97645568847656,110.79283086796588,112.11992164210886,117.9901733398438,127.88075497763774,104.8731002807617,132.9879150390625,113.14529418945312,128.23617553710938,114.73601260835304,120.46701925955492,84.1333999633789,111.90753470288143,91.1559600830078,117.1637268066406,210.63153796238586,210.63153796238586,101.84950061646259,116.30388174592842,123.39486111621211,139.0311538568291,110.511202156291,119.2929627242642,125.22171206796536,125.83429113903698,109.07778107179438,104.59478084947575,112.35170505843051,110.12953914799498,111.25565485118427,123.83268675121968,121.48337944803221,130.53434922284688,84.82817394876315,94.46115861312659,78.10025918684484,92.03361117431605,90.42028218493131,81.69347577132731,1.150333325068156,110.69832356770833,112.3848546346029,105.26315307617186,102.0987319946289,109.08453623453772,96.08872104354232,110.68495432535808,129.94593302408853,106.81693668310244,110.07580274252621,120.55662536621094,131.2474240664052,108.32487487792969,127.72980244954424,112.38624827067058,127.96887969970703,112.97084318360915,116.47540165652127,87.44315083821614,112.93522317255737,91.36146545410156,115.4447758992513,103.2386,98.71818,101.5438,101.645,100.285,100.6595,100.3069,100.439,101.3958,98.45412,100.9598,101.5859,100.8509,101.5088,100.9174,101.8399,102.2486,101.0049,92.31,0.67,48250000.0
2018-12-01,-254802.06,241.8468542666461,241.8468542666461,94.69031212695867,115.12846857656872,120.51856496078672,141.40766055891257,88.78318142991722,131.9360987883683,122.99195639275275,124.50841279239916,115.40520135323553,110.71769606772472,101.5561075253722,94.50373333163192,106.25779649800236,123.28013378640512,113.85800458695134,131.26134849624697,82.73338904107311,74.8987464762251,76.07170463079584,94.4065778513486,68.26856416201304,80.63036128406985,1.138399958610535,111.1622314453125,112.7942657470703,105.2978363037109,102.1667098999023,109.3300628662109,94.99488496057164,103.44828033447266,124.20246887207033,114.76872505282932,99.44638446469637,99.19173431396484,128.12567937720434,104.9746170043945,137.36328125,111.82362365722656,117.04354858398438,116.50118203309694,105.3787047200878,64.8812484741211,112.52424229408744,78.03302764892578,89.6261215209961,224.77408824611953,224.77408824611953,100.86927715490157,117.84613744734901,124.05019186353344,140.6272688564802,104.95098521623845,124.84167506313236,123.60886944790411,124.19718375830348,112.24149121251496,107.65623845860024,110.10128207577503,106.5409247673867,109.68024589370255,122.9216157025427,120.44002089350231,131.72824376654071,84.22578300410095,86.5192409455409,77.64252191889086,93.77994712009104,81.39399830213159,81.80212747873459,1.1411666472752888,110.9522221883138,111.9754358927409,105.2978363037109,102.0987319946289,109.2248382568359,95.56111064488609,108.20268249511719,128.50634765625,110.79283086796589,107.48658546972149,115.52370961507164,129.17007354262833,108.1895090738932,132.6041107177734,112.60739135742188,124.86849975585938,114.73601260835305,114.83883843927747,80.67205301920573,112.26951695767265,89.01284281412761,108.3626937866211,103.6305,98.62968,101.519,101.4642,100.1741,100.5454,100.1724,100.136,101.2298,98.18901,100.852,101.3715,100.7023,101.4458,100.8464,101.6098,102.3394,100.692,87.78,-4.9,48710000.0
2019-01-01,109909.44,175.66814701623522,175.66814701623522,90.14377464335028,108.32515444781708,104.77632556072642,118.70382759925366,99.27511253655656,92.41884168976458,105.51402415433354,106.3039461086945,109.6217883777066,105.1644272028445,101.7997542697059,99.6592103487257,107.51080834757134,111.0437546218524,106.41800196207336,113.05756469373324,81.25109257843613,76.2047708694399,75.77415348892652,80.0553660620669,71.58752635595322,78.82247827311473,1.1416000127792358,111.38605499267578,112.0777893066406,105.5059356689453,102.7784881591797,109.7509613037109,94.95013411787868,106.50684356689452,112.17539978027344,109.19621194333568,98.83314879482158,106.9910888671875,110.20094120678866,95.22843170166016,104.4329299926758,109.49972534179688,111.52220153808594,110.35460992907802,107.17493264145294,81.55634307861328,95.95735195798586,81.90825653076172,105.4060974121094,212.67821884914164,212.67821884914164,94.82366604158767,113.13727764439636,117.56634071164304,134.28122701671728,98.59251809119199,114.82899098336013,117.04355853676141,118.03408244972508,112.42282698115237,107.84612057638981,106.14809288638075,102.32131822413946,108.21633531581534,117.3332540971186,114.4486991239329,125.75101440692886,82.60861851609535,78.51344147833788,76.44891095275996,90.6081372685191,72.89908574898429,80.56125950598755,1.1389000018437703,111.18077087402344,112.18014272054036,105.36720275878902,102.3366470336914,109.4352874755859,95.10504553720894,106.56408437093098,122.11810811360677,111.58592262137695,103.46648496720893,108.0576655069987,122.06912518721025,101.69204966227214,124.92804209391274,111.48954772949219,118.93397521972656,113.86393485684266,111.00688554036519,76.85699717203777,106.79637631831822,83.69908142089844,104.06531524658203,103.9405,98.97886,101.5336,101.2748,100.0272,100.518,99.97832,99.85248,101.0311,98.12537,100.7477,101.138,100.5383,101.3079,100.6773,101.4533,101.9919,100.5415,86.34,-1.64,52630000.0
2019-02-01,-12924.580000000016,175.66814701623522,175.66814701623522,92.55152060075272,108.94465624025868,109.59701151276217,122.6869965413091,104.58668411028252,103.21421238872134,114.46664721673818,114.99630178967308,103.83837540217768,99.61115833796426,103.4957678666542,100.58945883679516,109.81760803998212,116.73692110885848,110.42959034865832,117.70472732719428,84.68173946384732,80.0860391875573,80.11719819834883,69.545041682087,77.34404909385461,83.61876987001003,1.13510000705719,111.56114196777344,111.3613128662109,105.2978363037109,102.6765289306641,109.8561935424805,94.7122043629914,109.30371856689452,116.6032943725586,103.62369883384206,99.54859040967553,113.7905197143555,117.97653190274453,100.1015243530273,112.8382263183594,110.83565521240234,112.6667251586914,104.20803782505912,110.64763995609222,83.45123291015625,107.30995615185736,80.32292938232422,103.6527709960938,197.7277160997055,197.7277160997055,92.46186912368718,110.79942642154816,111.6306340114251,127.59949489982507,97.54832602558547,109.18971762228473,114.32420925460815,115.26955356358893,109.6217883777066,105.1644272028445,102.28387655391076,98.25080083905091,107.86207096185194,117.02026983903868,110.23519896589433,120.67454683905818,82.88874036111885,77.06318551107411,77.32101877269038,81.3356618651675,72.40004653727362,81.02386980906486,1.13836665948232,111.36980946858723,112.07778930664058,105.36720275878902,102.5405756632487,109.64573923746742,94.88574114714724,106.41961415608722,117.66038767496745,109.1962119433357,99.2760412230645,106.65778096516927,118.76771749557918,100.10152435302733,118.21147918701172,110.71966807047527,113.74415842692058,110.35460992907804,107.73375910587761,76.62960815429688,105.26385013464353,80.08807118733723,99.5616633097331,104.1535,99.37622,101.548,101.0606,99.87872,100.5431,99.80544,99.72394,101.0838,98.23363,100.6161,100.8785,100.4249,101.1329,100.5132,101.3497,101.3867,100.3775,86.66,0.37,48050000.0
2019-03-01,222812.78999999998,261.6428015887835,261.6428015887835,107.8617877734872,126.96621589643505,122.53464783785472,140.11621350624793,114.29954914087736,122.45431788325496,141.6377167966329,146.09676800137896,98.05496242664876,94.05788947308402,120.7547676966352,118.18413109881963,111.66405707184596,133.231663558601,123.69391307151356,135.85907653418678,86.16782754337271,82.2232008944792,81.09669812297182,67.9121107528877,80.70096638277008,85.4631502989664,1.1302000284194946,111.92424011230467,111.0542526245117,105.5059356689453,102.8804473876953,109.9614181518555,94.4345911395054,111.95256805419922,137.50462341308594,98.05118572434844,117.74124861596118,125.3895568847656,146.63374570824828,117.3604049682617,128.612548828125,111.09249877929688,131.4561767578125,98.0614657210402,126.21494860792336,88.8327407836914,131.45076233223213,92.47706604003906,111.388053894043,204.32636520708465,204.32636520708465,96.85236100586337,114.74534219483694,112.30266163711444,127.16901254893689,106.05378192923884,106.02912398724698,120.53946272256819,122.46567196658219,103.83837540217768,99.61115833796426,108.68342994433175,106.14426676144683,109.66415781979981,120.33744642977065,113.51383512741508,122.2071228517048,84.03355319521872,79.50467031715881,78.99601660341573,72.50417283234721,76.54418061085931,82.63479948069705,1.1356333494186401,111.62381235758464,111.4977849324544,105.43656921386717,102.7784881591797,109.85619099934895,94.69897654012516,109.25437672932941,122.09443918863933,103.62369883384206,105.37432927348608,115.39038848876952,124.93707293926049,104.23012034098308,115.29456837972005,110.47595977783203,118.54836781819661,104.20803782505912,114.67917373515614,84.61343892415364,111.57269014735846,84.90275065104167,106.8156407674154,104.1568,99.64111,101.5537,100.8654,99.72719,100.5893,99.71317,99.71399,101.296,98.47947,100.5592,100.5933,100.3957,100.9661,100.4004,101.2955,100.765,100.2463,86.49,-0.2,46600000.0
2019-04-01,-172388.45999999996,219.59581298517043,219.59581298517043,98.67784377162845,114.91743241004696,110.61241421742044,127.51200606287358,99.73296912808776,106.27980407830448,107.15065267514242,104.72228145720284,97.0889322766768,93.31589203300774,106.69116359128024,103.93437452788436,109.27637907145598,125.21441449945448,111.92559499789276,121.96608798534596,85.63514130188692,86.4267320163874,81.59938825982671,62.4860657981163,86.76112988047286,85.4485513317659,1.1238000392913818,111.38450622558594,112.0777893066406,105.7140350341797,103.1863403320313,110.171875,93.85895922076152,109.16854095458984,121.49242401123048,97.9885732175002,102.92138659398692,110.0908279418945,110.01588878497716,106.8020324707031,115.0259094238281,109.4900131225586,119.41561889648438,95.5397951142632,113.5216046302764,75.94744873046875,101.30840670399056,85.51925659179688,102.5182647705078,218.96892053006306,218.96892053006306,99.69705071528942,116.9427681822469,114.2480245226791,130.10507203681018,106.20640079308258,110.64944478342693,121.08500556283782,121.93845041608496,99.66075670183442,95.66164661468535,110.31389971818987,107.56932148783305,110.25268139442801,125.06099972230466,115.34969947268821,125.17663061557569,85.49490276970232,82.91199069947464,80.93776152704912,66.64773941103034,81.60204845236585,84.84349050024743,1.1297000249226887,111.62329610188802,111.49778493245441,105.5059356689453,102.91443888346357,109.99649556477867,94.33525157441943,110.14160919189452,125.20011393229167,99.88781925856357,106.7370752065412,116.42363484700518,124.87538879865667,108.08798726399738,118.8255615234375,110.47272237141927,121.17950693766277,99.26976622012084,116.79473106476395,82.74380747477214,113.35637506269336,86.10641733805339,105.85302988688153,104.1384,99.81876,101.5012,100.7306,99.60259,100.6055,99.67951,99.86852,101.4515,98.45925,100.5353,100.3271,100.4251,100.8391,100.2865,101.1641,100.1526,100.026,96.22,11.26,37290000.0
2019-05-01,-120093.06000000006,234.1691963737265,234.1691963737265,94.77955026298685,110.8144962984979,115.71233315762302,131.99363437328986,118.00628648032657,123.26163861741064,108.94092597849968,108.49239166874624,96.12290212670486,92.57389459293144,109.71969928939492,106.8994145329881,110.06370651589472,129.91224913492672,117.9010313434784,127.69580444271897,80.97121594064892,85.1757727223883,78.64918879651992,59.42233533269711,84.55551713913766,79.86829519620431,1.118499994277954,111.61335754394533,112.2825012207031,105.7140350341797,102.7784881591797,110.0666427612305,94.49063182291836,109.1941375732422,124.61112213134766,97.92596071065196,105.37432927348608,129.4892120361328,112.39749439067936,101.4213180541992,120.2072601318359,111.786376953125,122.78617095947266,93.0181245074862,117.59305458537072,91.63719177246094,101.89294734569084,84.02201080322266,107.4688415527344,238.46927031589348,238.46927031589348,100.43972726936745,117.56604820165997,116.28646507096607,133.20728464747046,110.67960158309724,117.33192019299004,119.243098483425,119.77048037577602,97.0889322766768,93.31589203300774,112.3885435257701,109.6726400532307,110.33471421973222,129.45277573099406,117.8401798042949,128.50698965408392,84.25806159530283,84.60856854441833,80.44842505977282,63.2735039612337,84.00587113412688,83.59333227564554,1.1241666873296101,111.64070129394531,111.80484771728514,105.64466857910156,102.94842529296876,110.066645304362,94.26139406106176,110.10508219401042,127.86938985188802,97.98857321750022,108.67898816114473,121.65653228759761,123.01570962796826,108.52791849772136,121.28190612792964,110.78962961832683,124.55265553792317,95.5397951142632,119.10986927452346,85.4724604288737,111.55070546063784,87.33944447835286,107.12505340576172,104.0783,100.0449,101.3713,100.6137,99.42149,100.6047,99.67676,100.0994,101.537,98.26464,100.6031,100.1039,100.4583,100.74,100.1495,100.9769,99.58679,99.82363,91.44,-4.97,48630000.0
2019-06-01,121900.89000000001,261.1263504070176,261.1263504070176,98.978104827605,122.04555481865556,108.91745457505206,126.7695567170754,108.23188793677132,121.31200439440344,117.7475742547908,118.46080607400636,95.15687197673294,91.8318971528552,111.54695773991853,108.95867668922128,111.71756874558032,133.7283409960749,114.3253185473292,126.61249532624144,79.41865475444601,76.3392715732818,78.52608899237563,52.962528876140496,75.60654919054667,78.06771166884941,1.1292999982833862,110.55021667480467,113.8178176879883,105.5059356689453,102.4726028442383,110.0666427612305,94.873895333731,111.47966766357422,126.9803237915039,97.86334820380372,105.16991738352785,118.9900894165039,120.4431444202594,106.0913772583008,116.0621795654297,112.1888656616211,125.1688003540039,90.4964539007092,123.10148687755712,83.52703094482422,112.2512788936122,87.45687866210938,95.8143539428711,238.29711992197153,238.29711992197153,97.47849962074007,115.92582784240012,111.74740065003185,128.75839905107958,108.65704784839522,116.95114903003953,111.2797176361443,110.5584930666518,96.12290212670489,92.57389459293147,109.31927354019787,106.59748858336457,110.35255144431035,129.61833487681872,114.71731496290012,125.42479591810213,82.00833733232729,82.64725877068585,79.59155534957408,58.290310002317966,82.30773207005241,81.12818606560654,1.1238666772842407,111.18269348144531,112.72603607177733,105.64466857910156,102.81247711181645,110.10172017415367,94.40782879247028,109.94744873046875,124.36128997802734,97.92596071065196,104.48854441700028,119.52337646484371,114.28550919863864,104.77157592773438,117.09844970703121,111.15508524576823,122.45686340332031,93.0181245074862,118.0720486977347,83.70389048258464,105.15087764776452,85.66604868570964,101.93382008870442,104.086,100.2385,101.189,100.5241,99.19237,100.594,99.68859,100.1807,101.4458,98.16116,100.4701,99.83164,100.4121,100.6525,99.9551,100.774,99.24728,99.64125,94.29,3.12,37340000.0
2019-07-01,-53727.46999999997,217.05344658519093,217.05344658519093,100.35437226335446,107.25045799741042,117.1263313479991,132.66076569396373,114.70531239968778,123.57286202548484,118.87885598822224,119.17883431433982,97.90928803427998,94.3949248409046,110.59375610028331,107.34287695327332,103.4618908814106,119.53653571596162,116.3258178696051,123.99485281329558,80.70522325565861,77.0384216323358,81.03118419450152,52.73103815975699,77.77842406968169,78.85034902867929,1.1217999458312988,110.79561614990234,114.8413543701172,105.2978363037109,102.4726028442383,109.9614181518555,95.12711960907708,100.38681030273438,123.3802719116211,98.11379823119668,103.22800442892432,124.1896514892578,120.86415456572372,106.9035568237305,122.2797927856445,109.55381774902344,125.63995361328124,97.55713159968478,123.93972657419418,92.92572021484376,114.83081171845684,89.74678802490234,107.6751174926758,237.44966445531168,237.44966445531168,98.0373424513154,113.37016970485462,113.91870636022473,130.474652261443,113.64782893892857,122.71550167909965,115.18911874050423,115.37734401903082,96.39635404590592,92.93357219556374,110.62013770986556,107.73365605849422,108.41438871429521,127.72570861565441,116.18405592013757,126.10105086075203,80.36503131691785,79.51782197600198,79.40215399446568,55.03863412286486,79.3134967997887,78.928785297911,1.1231999794642131,110.98639678955078,113.64722442626953,105.5059356689453,102.57456461588544,110.03156789143884,94.83054892190881,107.02020517985027,124.99057261149089,97.96770238188412,104.5907503619794,124.22298431396483,117.90159779222081,104.80541737874351,119.51641082763668,111.17635345458984,124.53164164225261,93.69057000262673,121.54475601237397,89.36331431070964,109.65834598591995,87.07522583007812,103.65277099609376,103.9558,100.4199,101.0384,100.556,98.98115,100.5603,99.69627,100.222,101.2202,98.18482,100.2739,99.58361,100.3442,100.5682,99.73546,100.6073,98.86368,99.42289,89.24,-5.36,45200000.0
